City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,MaxTemp,Wind Speed
East London,0,ZA,1530325309,100,-33.02,27.91,64.02,8.39
Tortoli,0,IT,1530320100,46,39.93,9.66,71.6,3.36
Matagami,92,NG,1530325312,100,9.67,8.4,66.72,3.36
Rikitea,0,PF,1530325313,100,-23.12,-134.97,76.71,11.97
Ailigandi,76,PA,1530325314,99,9.23,-78.02,74.91,2.91
Kapaa,20,US,1530323760,69,22.08,-159.32,82.4,13.87
Grindavik,90,IS,1530322200,100,63.84,-22.43,50.0,4.7
Iqaluit,75,CA,1530324000,80,63.75,-68.52,41.0,6.93
Puerto Ayora,76,EC,1530325318,98,-0.74,-90.35,72.39,12.53
Suleja,20,NG,1530320400,83,9.18,7.18,75.2,2.24
Provideniya,48,RU,1530325321,100,64.42,-173.23,43.32,5.37
Bluff,68,AU,1530325322,76,-23.58,149.07,70.41,9.62
Ilo,80,PE,1530325323,100,-17.65,-71.34,51.96,1.34
Tubuala,40,PA,1530324000,100,9.52,-79.03,77.0,3.36
Cayenne,75,GF,1530324000,100,4.94,-52.33,73.4,6.71
Victoria,75,BN,1530322200,88,5.28,115.24,86.0,6.04
Shimoda,40,JP,1530320400,88,34.7,138.93,80.6,12.75
Barrow,8,AR,1530325331,84,-38.31,-60.23,45.66,9.4
Chernukha,56,RU,1530325332,53,55.6,43.76,70.77,8.39
San Cristobal,40,EC,1530324000,93,-0.39,-78.55,50.0,9.17
Georgetown,40,GY,1530320400,94,6.8,-58.16,77.0,6.93
Juba,0,EE,1530323400,87,57.82,26.93,48.2,5.82
Ribeira Grande,76,PT,1530325338,100,38.52,-28.7,70.14,17.9
Upernavik,76,GL,1530325339,94,72.79,-56.15,34.14,6.26
Diego de Almagro,44,CL,1530325341,85,-26.39,-70.05,46.38,2.91
Ferrol,80,ES,1530322200,93,43.48,-8.23,64.4,2.24
Berlevag,92,NO,1530325343,100,70.86,29.09,41.97,18.34
Hithadhoo,88,MV,1530325344,100,-0.6,73.08,82.47,2.13
Fort Nelson,90,CA,1530324000,55,58.81,-122.69,64.4,6.93
Jember,56,ID,1530325348,95,-8.17,113.7,77.79,8.39
Nanortalik,100,GL,1530325349,98,60.14,-45.24,36.93,17.78
Hit,0,IQ,1530325350,31,33.64,42.83,79.77,14.54
Simbahan,56,PH,1530325351,100,6.3,120.58,82.65,8.39
Kota Kinabalu,75,MY,1530322200,78,5.98,116.07,82.4,2.24
Port Hedland,0,AU,1530324000,28,-20.31,118.58,73.4,23.04
Bam,0,IR,1530325320,14,29.11,58.36,74.46,4.47
Mount Darwin,0,ZW,1530325356,84,-16.77,31.58,44.22,3.02
Khatanga,92,RU,1530325357,90,71.98,102.47,58.62,15.21
Cherskiy,88,RU,1530325359,76,68.75,161.3,39.18,5.93
Westport,0,IE,1530325360,59,53.8,-9.52,62.76,7.38
Dongsheng,92,CN,1530325362,100,29.72,112.52,78.96,7.49
Kysyl-Syr,0,RU,1530325365,40,63.9,122.77,74.82,2.91
Carnarvon,0,ZA,1530325367,82,-30.97,22.13,30.72,4.92
Cervo,0,BR,1530325368,84,-22.19,-46.24,47.73,2.46
Tasiilaq,36,GL,1530323400,93,65.61,-37.64,37.4,2.24
Hilo,90,US,1530323760,69,19.71,-155.08,80.6,9.17
Saldanha,76,PT,1530325374,88,41.42,-6.55,62.04,3.24
Karratha,0,AU,1530325375,27,-20.74,116.85,72.84,17.22
Naze,64,NG,1530325376,97,5.43,7.07,71.49,3.8
Dwarka,40,IN,1530322200,83,28.58,77.04,84.2,6.93
Souillac,0,FR,1530324000,77,45.6,-0.6,66.2,3.36
Arlit,76,NE,1530325379,30,18.74,7.39,83.28,2.35
Saint George,20,GR,1530323400,60,39.45,22.34,68.0,12.75
Bredasdorp,36,ZA,1530324000,93,-34.53,20.04,53.6,5.82
New Norfolk,40,AU,1530324000,62,-42.78,147.06,53.6,6.93
Ponta do Sol,0,BR,1530325384,82,-20.63,-46.0,52.23,2.91
Pyay,48,MM,1530325386,98,18.82,95.22,79.23,6.93
Katsuura,75,JP,1530323580,94,33.93,134.5,80.6,13.87
Tuktoyaktuk,40,CA,1530324000,70,69.44,-133.03,48.2,13.87
Lasa,40,CY,1530324000,73,34.92,32.53,75.2,4.7
Lagoa,75,PT,1530324000,93,37.14,-8.45,64.4,3.36
Anzio,0,IT,1530321600,77,41.45,12.63,69.8,2.24
Chake Chake,92,TZ,1530325393,100,-5.25,39.77,75.72,16.44
Butaritari,12,KI,1530325395,100,3.07,172.79,84.36,8.16
Padang,8,ID,1530325327,100,-0.92,100.36,83.46,2.35
Makakilo City,1,US,1530323820,51,21.35,-158.09,84.2,10.29
Arraial do Cabo,32,BR,1530325398,93,-22.97,-42.02,71.13,16.22
Half Moon Bay,1,US,1530324000,72,37.46,-122.43,89.6,6.93
Jeremoabo,88,BR,1530325403,83,-10.08,-38.34,68.88,6.6
Hualmay,0,PE,1530325405,91,-11.1,-77.61,55.29,1.9
Harper,40,US,1530323700,48,30.3,-99.24,91.4,10.29
Tsabong,0,BW,1530325407,54,-26.02,22.4,40.98,3.24
Ngunguru,0,NZ,1530325408,100,-35.62,174.5,56.91,0.89
Shakiso,80,ET,1530325409,99,5.77,38.9,56.28,2.57
Bangkalan,20,ID,1530320400,74,-7.05,112.74,78.8,1.12
Camacha,20,PT,1530324000,82,33.08,-16.33,68.0,14.99
Sao Filipe,0,CV,1530325414,100,14.9,-24.5,73.29,12.19
Baghmara,48,IN,1530325415,92,23.8,86.21,79.59,6.38
Te Anau,0,NZ,1530325416,91,-45.41,167.72,40.89,3.47
Yellowknife,75,CA,1530324000,72,62.45,-114.38,59.0,3.36
Hofn,92,IS,1530325418,98,64.25,-15.21,48.81,6.49
Kroya,0,ID,1530325419,56,-6.5,108.06,86.07,2.91
Leningradskiy,80,RU,1530325421,93,69.38,178.42,34.14,11.97
Coahuayana,20,MX,1530325422,90,18.62,-100.35,68.16,2.13
Severo-Kurilsk,92,RU,1530325424,92,50.68,156.12,50.34,0.89
Aguililla,36,MX,1530325425,89,18.74,-102.79,69.42,1.68
Port Moresby,40,PG,1530320400,79,-9.47,147.16,84.2,5.82
Deputatskiy,0,RU,1530325427,34,69.3,139.9,60.78,5.59
West Bay,0,GB,1530323400,87,50.71,-2.76,62.6,3.36
Saskylakh,32,RU,1530325430,63,71.97,114.09,68.88,12.86
Mar del Plata,80,AR,1530325431,73,-46.43,-67.52,42.78,11.18
Ishigaki,75,JP,1530320400,88,24.34,124.16,82.4,10.29
Hermanus,68,ZA,1530325433,99,-34.42,19.24,48.54,3.69
Emirdag,32,TR,1530325435,95,39.02,31.15,52.59,3.36
Dori,0,BF,1530325437,86,14.03,-0.03,76.98,9.06
Tema,75,GH,1530324000,94,5.66,-0.01,77.0,6.93
Channel-Port aux Basques,100,CA,1530325439,85,47.57,-59.14,51.24,24.38
San Marcos,90,GT,1530322860,94,14.97,-91.79,75.2,0.78
Namatanai,56,PG,1530325443,99,-3.66,152.44,83.91,10.96
Alvdal,0,NO,1530323400,86,62.11,10.63,37.4,8.05
Valparaiso,1,US,1530324900,83,41.47,-87.06,89.6,5.82
Bonavista,92,CA,1530325447,79,48.65,-53.11,54.21,22.82
Saiha,64,IN,1530325449,95,22.49,92.98,73.29,2.35
Tamiahua,0,MX,1530325450,84,21.28,-97.45,83.82,18.57
Port Hardy,90,CA,1530324000,87,50.7,-127.42,59.0,8.05
Sioux Lookout,90,CA,1530324600,88,50.1,-91.92,69.8,4.7
Killybegs,0,IE,1530325454,67,54.63,-8.45,62.49,5.7
Cidreira,36,BR,1530325455,93,-30.17,-50.22,58.26,2.68
Scarborough,0,GB,1530323400,100,54.28,-0.41,51.8,5.82
Ponta Delgada,75,PT,1530324000,82,37.73,-25.67,68.0,5.82
Gwadar,44,PK,1530325458,94,25.12,62.33,84.9,4.92
Praia da Vitoria,75,PT,1530324000,82,38.73,-27.07,68.0,21.14
Dikson,80,RU,1530325461,100,73.51,80.55,35.31,18.79
Thompson,90,CA,1530324000,93,55.74,-97.86,53.6,5.82
Constitucion,90,MX,1530323220,77,23.99,-104.67,64.4,5.82
Airai,0,TL,1530325464,54,-8.93,125.41,79.41,2.01
Zurrieq,0,MT,1530323100,94,35.83,14.47,69.8,3.36
Vila Franca do Campo,75,PT,1530324000,82,37.72,-25.43,68.0,5.82
Kudahuvadhoo,80,MV,1530325468,100,2.67,72.89,83.91,7.72
Shelburne,1,CA,1530324000,57,44.08,-80.2,80.6,9.17
Bathsheba,40,BB,1530324000,74,13.22,-59.52,80.6,24.16
Klaksvik,0,FO,1530323400,93,62.23,-6.59,48.2,14.99
Port Alfred,0,ZA,1530325472,86,-33.59,26.89,60.78,10.4
Gouyave,75,GD,1530324000,88,12.16,-61.73,78.8,6.93
Khani,90,GE,1530322200,100,41.96,42.96,73.4,2.24
Luderitz,0,NA,1530325475,86,-26.65,15.16,48.09,6.6
Nantucket,1,US,1530324900,88,41.28,-70.1,73.4,5.82
Cruzilia,12,BR,1530325478,81,-21.84,-44.81,49.17,2.68
Tiarei,20,PF,1530324000,62,-17.53,-149.33,84.2,11.41
Viedma,76,AR,1530325480,42,-40.81,-62.99,55.02,16.67
Kristiansund,0,NO,1530323400,87,63.12,7.73,44.6,8.05
Qaanaaq,8,GL,1530325482,90,77.48,-69.36,33.6,5.37
Keti Bandar,92,PK,1530325484,100,24.14,67.45,80.76,6.6
Hirara,40,JP,1530322680,83,24.8,125.28,84.2,12.75
Norman Wells,75,CA,1530324000,43,65.28,-126.83,69.8,6.93
Vyshhorod,40,UA,1530322200,100,50.58,30.49,66.2,13.42
Van Buren,90,US,1530324960,100,47.16,-67.94,71.6,6.82
Luanda,68,AO,1530324000,88,-8.83,13.24,69.8,4.7
Mapiripan,32,CO,1530325492,98,2.89,-72.13,70.32,2.8
Alampur,68,IN,1530325493,70,15.88,78.14,80.22,6.6
Tiksi,8,RU,1530325258,70,71.64,128.87,52.77,9.17
Callaway,40,US,1530324900,83,46.98,-95.91,78.8,8.5
Pozo Colorado,12,PY,1530325498,96,-23.49,-58.8,65.55,9.4
Lebu,44,ET,1530325499,97,8.96,38.73,49.44,2.57
Koppies,0,ZA,1530325500,69,-27.24,27.57,37.02,6.15
Guiren,75,TW,1530322200,70,22.97,120.29,86.0,3.36
Chapais,90,CA,1530324000,63,49.78,-74.86,64.4,3.36
Marsa Matruh,20,EG,1530324000,83,31.35,27.25,69.8,6.93
Divnomorskoye,12,RU,1530325504,93,44.5,38.13,72.66,2.13
Rodrigues Alves,0,BR,1530324000,94,-7.74,-72.65,71.6,3.36
Ancud,92,CL,1530325507,98,-41.87,-73.83,41.43,3.13
Port Lincoln,80,AU,1530325508,89,-34.72,135.86,57.36,8.16
Moyale,100,ET,1530325509,100,3.52,39.05,64.02,3.13
Ambulu,56,ID,1530325510,95,-8.35,113.61,77.79,8.39
Cairns,75,AU,1530324000,83,-16.92,145.77,73.4,13.87
Catalina,40,CO,1530324000,100,8.86,-75.38,78.8,8.72
Yulara,24,AU,1530324000,41,-25.24,130.99,60.8,18.34
Cape Town,75,ZA,1530324000,93,-33.93,18.42,53.6,9.17
Port Blair,92,IN,1530325517,100,11.67,92.75,77.61,10.18
Labuhan,44,ID,1530325518,82,-2.54,115.51,81.21,1.9
Voh,32,NC,1530325519,83,-20.95,164.69,76.98,14.32
Evanston,1,US,1530324900,70,42.04,-87.69,89.6,8.05
Santa Ines,40,EC,1530324000,93,-0.82,-78.63,50.0,9.17
Sisimiut,68,GL,1530325523,95,66.94,-53.67,30.99,3.13
Ciudad Guayana,20,VE,1530325524,99,8.32,-62.69,74.64,4.81
Hambantota,20,LK,1530325525,96,6.12,81.12,81.48,11.07
Havre-Saint-Pierre,90,CA,1530324000,100,50.23,-63.6,55.4,8.05
Waingapu,0,ID,1530325528,54,-9.65,120.26,83.37,10.63
Gornopravdinsk,88,RU,1530325530,81,60.06,69.92,63.3,9.73
Paka,0,HR,1530324000,100,45.29,18.06,64.4,9.17
San Patricio,76,PY,1530325533,98,-26.98,-56.83,63.84,3.13
Maniitsoq,20,GL,1530325537,87,65.42,-52.9,36.21,7.38
Talnakh,0,RU,1530325540,59,69.49,88.39,50.52,8.72
Sabha,0,LY,1530325541,30,27.03,14.43,69.96,7.16
Mahebourg,75,MU,1530324000,88,-20.41,57.7,66.2,5.82
Torbay,90,CA,1530324000,93,47.66,-52.73,57.2,17.22
Vardo,1,US,1530323700,54,39.62,-77.74,82.4,4.7
Yeppoon,90,AU,1530324000,78,-23.13,150.74,71.6,10.29
Port Macquarie,12,AU,1530324000,63,-31.43,152.91,62.6,5.82
Mackenzie,1,CA,1530324000,42,55.34,-123.09,66.2,9.17
Bhawanipatna,68,IN,1530325549,90,19.91,83.17,75.99,3.47
Hami,92,CN,1530325550,51,42.84,93.51,84.81,3.36
Toora-Khem,80,RU,1530325552,84,52.47,96.11,64.65,1.9
Antsohihy,0,MG,1530325555,84,-14.88,47.99,62.85,9.62
Kaitangata,0,NZ,1530325556,88,-46.28,169.85,47.28,5.14
Luba,92,PH,1530325557,92,17.32,120.7,76.62,4.7
Nalut,0,LY,1530325558,42,31.86,10.98,69.42,3.36
Chicama,90,PE,1530324000,88,-7.84,-79.15,64.4,5.82
Longyearbyen,40,NO,1530323400,100,78.22,15.63,41.0,13.87
Samarina,80,RU,1530324000,76,57.89,27.81,50.0,8.95
Bambari,92,CF,1530325564,97,5.77,20.68,67.71,6.38
Mankono,76,CI,1530325565,95,8.06,-6.19,71.76,6.6
Kangaatsiaq,80,GL,1530325566,94,68.31,-53.46,37.29,2.68
Kirakira,76,SB,1530325567,100,-10.46,161.92,82.56,27.96
Fukue,75,JP,1530322200,79,35.03,136.69,84.2,12.75
Whitehorse,75,CA,1530324000,58,60.72,-135.06,59.0,3.36
Sitka,32,US,1530325572,31,37.17,-99.65,92.01,19.24
Manggar,76,ID,1530325573,89,-2.88,108.27,82.92,9.4
Ketchikan,90,US,1530323580,87,55.34,-131.65,57.2,13.87
Chokurdakh,12,RU,1530325575,92,70.62,147.9,44.49,6.71
California City,1,US,1530323880,18,35.13,-117.99,96.8,19.46
Bambous Virieux,75,MU,1530324000,88,-20.34,57.76,66.2,5.82
Marystown,100,CA,1530325579,92,47.17,-55.16,53.4,16.33
Vao,68,EE,1530325580,62,59.1,26.19,53.94,13.98
Esperance,88,TT,1530324000,78,10.24,-61.45,78.8,6.6
Kavieng,76,PG,1530325582,100,-2.57,150.8,84.9,9.84
Ostrovnoy,88,RU,1530325583,94,68.05,39.51,43.32,13.2
Banff,88,CA,1530325584,39,51.18,-115.57,53.22,2.13
Ilulissat,92,GL,1530323400,100,69.22,-51.1,35.6,3.36
Nipawin,1,CA,1530324000,46,53.36,-104.02,69.8,4.7
Kiruna,0,SE,1530323400,75,67.86,20.23,41.0,11.41
Salalah,20,OM,1530323400,88,17.01,54.1,80.6,3.36
Palmer,20,AU,1530324000,50,-34.85,139.16,57.2,13.87
Holovyne,92,UA,1530325594,98,50.48,28.82,63.48,8.95
Rapid City,90,US,1530323760,100,44.08,-103.23,59.0,16.11
Hoshcha,40,UA,1530324000,93,50.6,26.67,64.4,6.71
Bayburt,0,TR,1530325597,77,40.26,40.22,50.34,1.9
Pisco,90,PE,1530324000,77,-13.71,-76.2,64.4,11.41
Pushkino,0,RU,1530324000,72,56.01,37.85,66.2,4.47
Shebunino,44,RU,1530325600,52,57.66,40.04,70.86,7.72
Ahipara,12,NZ,1530325602,92,-35.17,173.16,55.65,3.91
Marquette,1,US,1530325080,74,46.54,-87.4,80.6,10.29
Honningsvag,92,NO,1530325604,100,70.98,25.97,42.42,19.24
Hanzhong,100,CN,1530325605,100,33.08,107.03,69.51,3.13
Guilin,75,CN,1530320400,88,25.28,110.29,80.6,4.47
Belyy Yar,0,RU,1530324000,73,53.6,91.39,71.6,4.47
Sept-Iles,20,CA,1530324000,52,50.2,-66.38,66.2,9.17
Mananjary,0,MG,1530325610,88,-19.16,46.8,42.96,4.25
Atasu,8,KZ,1530325611,85,48.68,71.64,73.83,4.59
Guerrero Negro,0,MX,1530325612,66,27.97,-114.04,67.89,7.16
Adrar,0,DZ,1530324000,19,27.87,-0.29,84.2,9.17
Rocha,32,UY,1530325614,95,-34.48,-54.34,52.59,3.13
Bandarbeyla,0,SO,1530325615,75,9.49,50.81,78.69,25.95
Stonewall,75,CA,1530324000,69,50.13,-97.33,73.4,5.82
Placido de Castro,0,BR,1530325618,83,-10.34,-67.19,75.54,1.9
Palmas Bellas,20,PA,1530320400,88,9.23,-80.09,78.8,2.24
Tautira,20,PF,1530324000,62,-17.73,-149.15,84.2,11.41
Ouesso,88,CG,1530325621,100,1.61,16.05,68.88,4.25
Bintulu,75,MY,1530320400,94,3.17,113.03,77.0,6.93
Kruisfontein,44,ZA,1530325623,100,-34.0,24.73,57.36,15.99
Barcelona,20,ES,1530322200,73,41.38,2.18,71.6,3.36
Olinda,75,EC,1530324000,78,-2.03,-79.75,75.2,4.7
Ati,0,TD,1530325627,81,13.21,18.34,75.99,11.18
Brigantine,1,US,1530323760,73,39.41,-74.36,75.2,2.24
Barabai,36,ID,1530325629,85,-2.59,115.38,81.84,2.24
Guangyuan,8,CN,1530325630,86,32.43,105.86,78.78,3.13
Nisia Floresta,20,BR,1530324000,78,-6.09,-35.21,73.4,6.93
Oktyabrskiy,0,RU,1530324000,77,55.61,37.97,66.2,4.47
Fort Saint James,48,CA,1530325634,62,54.43,-124.25,58.98,7.83
Suez,0,EG,1530325635,87,29.97,32.54,67.35,2.68
Minab,0,IR,1530324000,69,27.15,57.07,80.6,4.7
Puerto del Rosario,20,ES,1530322200,77,28.5,-13.86,69.8,8.05
Am Timan,32,TD,1530325638,89,11.04,20.28,72.03,7.27
La Tuque,44,CA,1530325639,63,47.44,-72.79,66.81,5.37
Vostok,12,RU,1530325641,76,46.45,135.83,73.65,4.03
Loiza,40,PR,1530323760,88,18.43,-65.88,80.6,11.41
Alice Springs,0,AU,1530324000,31,-23.7,133.88,60.8,14.99
Sokolo,64,ML,1530325644,78,14.74,-6.12,77.34,7.72
Baykit,80,RU,1530325645,64,61.68,96.39,68.52,5.82
Eyl,0,SO,1530325646,77,7.98,49.82,80.85,22.03
Hazorasp,0,UZ,1530324000,34,41.32,61.08,82.4,6.93
Santo Antonio do Ica,20,BR,1530325649,89,-3.1,-67.94,76.44,2.91
Bubaque,20,GW,1530324000,94,11.28,-15.83,78.8,2.24
Hamilton,75,BM,1530323700,83,32.3,-64.78,77.0,10.29
High Rock,20,BS,1530325652,98,26.63,-78.28,83.91,14.76
Jaisalmer,92,IN,1530325653,100,26.91,70.91,76.62,4.92
Kungurtug,92,RU,1530325654,56,50.6,97.53,63.84,3.91
Jimma,92,ET,1530325656,100,7.67,36.84,56.82,1.68
Paramonga,8,PE,1530325657,100,-10.68,-77.82,60.96,6.04
Pasighat,92,IN,1530325658,99,28.06,95.33,70.5,2.01
Novosergiyevka,0,RU,1530325659,61,52.08,53.65,72.39,5.26
Phuket,20,TH,1530322200,74,7.89,98.4,86.0,3.36
Veraval,0,FR,1530324000,82,49.65,0.71,60.8,12.75
Sirjan,0,IR,1530325529,19,29.44,55.67,63.12,2.46
Broxburn,90,GB,1530323400,93,55.93,-3.48,55.4,8.05
Freeport,64,BS,1530325665,93,26.54,-78.7,84.0,13.76
Pevek,64,RU,1530325666,78,69.7,170.27,42.51,6.6
Cotonou,40,BJ,1530324000,94,6.37,2.43,77.0,9.17
Santa Barbara,1,US,1530323880,68,34.42,-119.7,69.8,8.05
Thinadhoo,64,MV,1530325670,100,0.53,72.93,83.19,4.14
Xinyu,64,CN,1530325672,84,27.8,114.93,83.28,4.03
Alofi,40,NU,1530324000,60,-19.06,-169.92,75.2,18.34
Lerwick,0,GB,1530323400,93,60.15,-1.15,50.0,6.93
Ust-Kuyga,0,RU,1530325675,61,70.0,135.55,62.22,5.82
Payo,12,ID,1530325676,97,-3.75,103.64,79.5,3.69
Road Town,1,VG,1530323580,74,18.42,-64.62,80.6,6.93
Cabo San Lucas,5,MX,1530323100,74,22.89,-109.91,82.4,11.41
Ust-Omchug,92,RU,1530325680,97,61.13,149.63,46.38,3.36
Hanmer Springs,0,NZ,1530325681,73,-42.52,172.83,44.67,3.13
Rio Grande,92,BR,1530325682,94,-32.03,-52.1,60.6,5.82
Namibe,8,AO,1530325683,100,-15.19,12.15,68.25,4.36
Sambava,88,MG,1530325684,100,-14.27,50.17,73.56,17.22
Zapolyarnyy,92,RU,1530323400,75,69.43,30.82,44.6,16.11
Kutum,44,SD,1530325690,70,14.2,24.66,72.21,12.75
Narsaq,92,GL,1530323400,75,60.91,-46.05,41.0,1.12
Punta de Bombon,92,PE,1530325693,100,-17.17,-71.79,60.33,2.35
Butembo,36,CD,1530325694,99,0.12,29.29,57.81,1.01
Krasnyy Oktyabr,80,RU,1530325695,67,56.12,38.88,69.78,2.35
San Rafael,0,AR,1530325699,83,-34.61,-68.33,34.95,3.36
Bandar,8,ID,1530325701,100,-4.2,104.14,81.57,4.36
Anadyr,90,RU,1530324000,76,64.73,177.51,55.4,13.42
Kununurra,40,AU,1530324000,28,-15.77,128.74,82.4,12.75
Leh,80,IN,1530325704,100,34.16,77.58,32.07,0.34
Venice,1,US,1530324900,88,27.1,-82.45,80.6,5.82
Shubarshi,0,KZ,1530325709,52,48.59,57.19,74.28,7.38
Vagur,0,FO,1530325711,95,61.47,-6.81,51.42,17.67
Zhangjiakou,12,CN,1530325714,52,40.77,114.88,80.22,4.14
Wanxian,56,CN,1530325715,68,30.8,108.39,83.91,3.36
Aitape,12,PG,1530325716,92,-3.15,142.36,83.19,7.38
San Juan,0,AR,1530325718,80,-31.54,-68.53,36.39,3.13
Falavarjan,0,IR,1530324000,24,32.56,51.51,57.2,1.57
Revelstoke,1,CA,1530324000,82,50.99,-118.19,59.0,3.36
Abu Samrah,20,SY,1530325722,86,35.3,37.18,67.35,11.3
Iskateley,92,RU,1530325723,88,67.68,53.15,51.15,7.72
Raudeberg,0,NO,1530323400,81,61.99,5.14,48.2,4.7
Correntina,12,BR,1530325725,76,-13.34,-44.63,67.89,8.61
Faanui,88,PF,1530325727,100,-16.48,-151.75,80.58,15.43
Waddan,0,LY,1530325729,50,29.16,16.14,62.58,2.68
Rantauprapat,56,ID,1530325730,73,2.1,99.83,79.95,2.8
Shubarkuduk,0,KZ,1530325731,61,49.15,56.49,72.12,7.05
The Pas,75,CA,1530324000,56,53.82,-101.24,71.6,2.24
Tamandare,0,BR,1530325733,89,-8.28,-70.75,74.91,4.03
Mahibadhoo,80,MV,1530325734,95,3.78,72.97,85.17,10.07
Anloga,20,GH,1530324000,94,5.79,0.9,77.0,8.05
Vigia del Fuerte,80,CO,1530325737,97,6.58,-76.89,69.51,1.9
Stari Bohorodchany,75,UA,1530324000,100,48.84,24.53,64.4,8.95
Geraldton,75,CA,1530324000,100,49.72,-86.95,64.4,2.24
Salinas,1,US,1530323700,63,36.67,-121.66,71.6,10.29
Margate,40,AU,1530324000,62,-43.03,147.26,53.6,6.93
Riverton,1,US,1530323580,42,43.02,-108.38,68.0,12.75
Shieli,0,KZ,1530325745,30,44.18,66.74,85.53,4.36
Mecca,75,SA,1530324000,36,21.43,39.83,93.2,4.14
Kaseda,75,JP,1530324000,69,31.42,130.32,82.4,12.75
Beringovskiy,8,RU,1530325748,99,63.05,179.32,48.36,5.82
Muros,90,ES,1530322200,100,42.77,-9.06,60.8,3.36
Nome,1,US,1530323700,78,30.04,-94.42,84.2,6.93
Rinteln,0,DE,1530325200,62,52.19,9.08,59.0,3.36
Banepa,75,NP,1530323400,94,27.63,85.52,69.8,1.34
Santa Cruz,1,US,1530323760,77,36.97,-122.03,77.0,8.05
Shepsi,92,RU,1530325759,100,44.04,39.15,76.17,5.59
Mezhdurechensk,88,RU,1530325760,100,53.69,88.07,61.14,3.02
Muisne,92,EC,1530325761,89,0.61,-80.02,73.02,5.37
Khrebtovaya,0,RU,1530325762,53,56.71,104.25,74.1,5.82
Micheweni,88,TZ,1530325763,100,-4.97,39.83,75.99,19.69
Blagoyevo,56,RU,1530325765,57,63.37,47.92,66.72,6.82
Fairbanks,40,US,1530323880,49,64.84,-147.72,71.6,5.37
Argir,12,FO,1530323400,93,62.0,-6.77,48.2,14.99
Kaeo,36,NZ,1530325768,83,-35.1,173.78,56.1,3.69
Torbat-e Jam,0,IR,1530325769,29,35.24,60.63,74.28,3.58
Noumea,90,NC,1530324000,44,-22.28,166.46,78.8,9.17
Bonthe,92,SL,1530325771,100,7.53,-12.5,75.18,2.8
Garowe,0,SO,1530325773,47,8.41,48.48,80.22,15.66
Butte,90,US,1530323580,54,46.01,-112.54,55.4,5.82
Lompoc,90,US,1530323760,87,34.64,-120.46,68.0,4.7
Burlington,20,CA,1530324000,83,43.32,-79.8,80.6,6.93
Ust-Nera,20,RU,1530325777,48,64.57,143.24,57.72,2.68
Yarmouth,0,GB,1530323400,87,50.71,-1.5,59.0,6.93
Wiarton,20,CA,1530324000,65,44.74,-81.13,78.8,9.17
Pouebo,24,NC,1530325781,67,-20.4,164.57,75.72,16.33
Sola,90,FI,1530325200,87,62.78,29.36,46.4,13.87
Mudgee,8,AU,1530325784,100,-32.6,149.59,50.61,10.18
Dingle,64,PH,1530325785,66,11.0,122.67,87.06,8.61
Saint Anthony,1,US,1530323760,39,43.97,-111.68,66.2,5.93
Krasnyy Kut,64,RU,1530325787,66,47.1,40.67,77.79,6.49
Kokopo,48,PG,1530325790,98,-4.34,152.27,83.91,3.02
